Muestas,Series,Be-mean,y(k),n in box,Box,Slope,y-intercept,Slope,y-intercept,yn(k),[y(k)-yn(k)]^2,,n in box,Log(n),LogF(n),nb of boxes,,,,
52,1.12,-0.030,-1.521,2,6,,,-0.014,-0.829,-1.541,3.75E-04,,,,,,,,,
53,1.113,-0.037,-1.558,3,6,,,-0.014,-0.829,-1.554,1.19E-05,,,,,,,,,
54,1.12,-0.030,-1.587,4,6,,,-0.014,-0.829,-1.568,3.71E-04,,,,,,,,,
55,1.123,-0.027,-1.614,5,6,,,-0.014,-0.829,-1.582,1.03E-03,,,,,,,,,
56,1.137,-0.013,-1.626,6,6,,,-0.014,-0.829,-1.595,9.55E-04,,,,,,,,,
57,1.15,0.000,-1.626,7,6,,,-0.014,-0.829,-1.609,2.80E-04,,,,,,,,,
58,1.143,-0.007,-1.632,8,6,,,-0.014,-0.829,-1.623,9.11E-05,,,,,,,,,
59,1.167,0.017,-1.615,9,6,,,-0.014,-0.829,-1.636,4.68E-04,,,,,,,,,
60,1.15,0.000,-1.614,10,6,,,-0.014,-0.829,-1.650,1.28E-03,,,,,,,,,
61,1.217,0.067,-1.547,1,7,-0.005,-1.231,-0.005,-1.231,-1.516,9.42E-04,,,,,,,,,
62,1.177,0.027,-1.519,2,7,,,-0.005,-1.231,-1.521,2.20E-06,,,,,,,,,
63,1.153,0.003,-1.516,3,7,,,-0.005,-1.231,-1.525,9.33E-05,,,,,,,,,
64,1.153,0.003,-1.512,4,7,,,-0.005,-1.231,-1.530,3.18E-04,,,,,,,,,
65,1.14,-0.010,-1.522,5,7,,,-0.005,-1.231,-1.535,1.69E-04,,,,,,,,,
66,1.143,-0.007,-1.528,6,7,,,-0.005,-1.231,-1.539,1.25E-04,,,,,,,,,
67,1.143,-0.007,-1.535,7,7,,,-0.005,-1.231,-1.544,8.77E-05,,,,,,,,,
68,1.12,-0.030,-1.564,8,7,,,-0.005,-1.231,-1.549,2.39E-04,,,,,,,,,
69,1.143,-0.007,-1.571,9,7,,,-0.005,-1.231,-1.553,2.99E-04,,,,,,,,,
70,1.163,0.013,-1.557,10,7,,,-0.005,-1.231,-1.558,7.94E-07,,,,,,,,,
71,1.163,0.013,-1.544,1,8,-0.001,-1.451,-0.001,-1.451,-1.514,8.61E-04,,,,,,,,,
72,1.193,0.043,-1.500,2,8,,,-0.001,-1.451,-1.515,2.26E-04,,,,,,,,,
73,1.157,0.007,-1.493,3,8,,,-0.001,-1.451,-1.516,5.49E-04,,,,,,,,,
74,1.153,0.003,-1.489,4,8,,,-0.001,-1.451,-1.517,7.74E-04,,,,,,,,,
75,1.127,-0.023,-1.512,5,8,,,-0.001,-1.451,-1.518,3.85E-05,,,,,,,,,
76,1.12,-0.030,-1.541,6,8,,,-0.001,-1.451,-1.519,5.02E-04,,,,,,,,,
77,1.127,-0.023,-1.564,7,8,,,-0.001,-1.451,-1.520,1.94E-03,,,,,,,,,
78,1.19,0.040,-1.523,8,8,,,-0.001,-1.451,-1.521,6.92E-06,,,,,,,,,
79,1.16,0.010,-1.513,9,8,,,-0.001,-1.451,-1.522,7.67E-05,,,,,,,,,
80,1.157,0.007,-1.505,10,8,,,-0.001,-1.451,-1.522,2.94E-04,,,,,,,,,
81,1.153,0.003,-1.502,1,9,-0.020,0.098,-0.020,0.098,-1.494,5.94E-05,,,,,,,,,
82,1.113,-0.037,-1.538,2,9,,,-0.020,0.098,-1.514,6.03E-04,,,,,,,,,
83,1.15,0.000,-1.538,3,9,,,-0.020,0.098,-1.533,1.93E-05,,,,,,,,,
84,1.147,-0.003,-1.540,4,9,,,-0.020,0.098,-1.553,1.63E-04,,,,,,,,,
85,1.14,-0.010,-1.550,5,9,,,-0.020,0.098,-1.573,5.25E-04,,,,,,,,,
86,1.123,-0.027,-1.576,6,9,,,-0.020,0.098,-1.592,2.59E-04,,,,,,,,,
87,1.127,-0.023,-1.599,7,9,,,-0.020,0.098,-1.612,1.75E-04,,,,,,,,,
88,1.127,-0.023,-1.621,8,9,,,-0.020,0.098,-1.632,1.08E-04,,,,,,,,,
89,1.1,-0.050,-1.671,9,9,,,-0.020,0.098,-1.651,3.78E-04,,,,,,,,,
90,1.13,-0.020,-1.690,10,9,,,-0.020,0.098,-1.671,3.72E-04,,,,,,,,,
91,1.133,-0.017,-1.707,1,10,-0.043,2.235,-0.043,2.235,-1.708,4.77E-07,,,,,,,,,
92,1.103,-0.047,-1.753,2,10,,,-0.043,2.235,-1.751,6.17E-06,,,,,,,,,
93,1.113,-0.037,-1.790,3,10,,,-0.043,2.235,-1.794,1.88E-05,,,,,,,,,
94,1.103,-0.047,-1.836,4,10,,,-0.043,2.235,-1.838,1.35E-06,,,,,,,,,
95,1.11,-0.040,-1.876,5,10,,,-0.043,2.235,-1.881,2.49E-05,,,,,,,,,
96,1.1,-0.050,-1.925,6,10,,,-0.043,2.235,-1.924,1.41E-06,,,,,,,,,
97,1.103,-0.047,-1.972,7,10,,,-0.043,2.235,-1.968,1.90E-05,,,,,,,,,
98,1.1,-0.050,-2.021,8,10,,,-0.043,2.235,-2.011,1.11E-04,,,,,,,,,
99,1.107,-0.043,-2.064,9,10,,,-0.043,2.235,-2.054,9.44E-05,,,,,,,,,
100,1.133,-0.017,-2.080,10,10,,,-0.043,2.235,-2.098,2.93E-04,,,,,,,,,
101,1.127,-0.023,-2.103,1,11,-0.003,-1.726,-0.003,-1.726,-2.069,1.13E-03,,,,,,,,,
102,1.173,0.023,-2.079,2,11,,,-0.003,-1.726,-2.073,4.54E-05,,,,,,,,,
103,1.177,0.027,-2.052,3,11,,,-0.003,-1.726,-2.076,5.84E-04,,,,,,,,,
104,1.137,-0.013,-2.064,4,11,,,-0.003,-1.726,-2.079,2.27E-04,,,,,,,,,
105,1.137,-0.013,-2.077,5,11,,,-0.003,-1.726,-2.083,3.54E-05,,,,,,,,,
106,1.14,-0.010,-2.086,6,11,,,-0.003,-1.726,-2.086,2.30E-08,,,,,,,,,
107,1.153,0.003,-2.083,7,11,,,-0.003,-1.726,-2.090,4.55E-05,,,,,,,,,
108,1.163,0.013,-2.069,8,11,,,-0.003,-1.726,-2.093,5.59E-04,,,,,,,,,
109,1.123,-0.027,-2.096,9,11,,,-0.003,-1.726,-2.096,2.91E-07,,,,,,,,,
110,1.11,-0.040,-2.135,10,11,,,-0.003,-1.726,-2.100,1.26E-03,,,,,,,,,
111,1.12,-0.030,-2.165,1,12,-0.030,1.164,-0.030,1.164,-2.150,2.39E-04,,,,,,,,,
112,1.123,-0.027,-2.191,2,12,,,-0.030,1.164,-2.179,1.47E-04,,,,,,,,,
113,1.127,-0.023,-2.214,3,12,,,-0.030,1.164,-2.209,2.27E-05,,,,,,,,,
114,1.133,-0.017,-2.230,4,12,,,-0.030,1.164,-2.239,7.36E-05,,,,,,,,,
